C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
29872,Customer#000029872,"N5vveB ztJcjuDj,lYHEFAnxt Ju",0,10-197-831-8759,8098.91,HOUSEHOLD,"refully unusual, final excuses. boldly regular packages wake! furi"
47018,Customer#000047018,YEvdMRO1PeI1i717,0,10-962-242-8726,8544.27,HOUSEHOLD,arefully furiously unusual asymptotes? regular packages hang about the furiously eve
35450,Customer#000035450,S1ZwiVMm1gCg85kGn0XegQ4,0,10-856-862-4288,4296.42,BUILDING,"s. final, pending asymptotes are. quic"
33197,Customer#000033197,6CUWnu68mO1joESvqEGjG B,0,10-632-106-4210,7156.59,MACHINERY,"haggle after the carefully even asymptotes. express,"
30796,Customer#000030796,"4PmnQlI,C8ULkb,L3MURisd2XRNYnD9fL I",0,10-101-831-7441,1752.53,FURNITURE,nag. slowly unusual foxes among the special packages are thinly never even deposits. platelets run a
38753,Customer#000038753,NolDNKjs8ZPn22rRc,0,10-361-690-9667,3805.06,AUTOMOBILE,refully ironic deposits. never final instructions along the carefully ironic accounts nag fluffily ironic multiplier
46635,Customer#000046635,Y9MwE34Hcs5zn78q3WT6oDSreXga,0,10-456-464-6922,3371.38,FURNITURE,s haggle carefully blithely silent ideas? finally regular pinto beans detect. carefully regula
48488,Customer#000048488,ZXOfJnpfkVnrcnpLAz0qki,0,10-150-425-7774,9547.40,HOUSEHOLD,"odolites. even, special foxes beyond the carefully daring accounts wake sometimes along the quick"
45588,Customer#000045588,L7n0m6TNST3xDh40tVB,0,10-320-116-8156,7227.48,FURNITURE,cording to the asymptotes haggle afte
33838,Customer#000033838,5sJIJiZcZENW,0,10-814-871-5554,977.27,BUILDING,doggedly regular packages along the carefully final theodolites will have to wake at the furiously ironic ac
36183,Customer#000036183,1KzShZge9lSM81EoOs,0,10-448-837-5794,4847.78,HOUSEHOLD,slyly. doggedly special deposits according to t
33961,Customer#000033961,"bBnYw2jD,jEkqKF5HvE8cwH09",0,10-117-655-9748,-79.12,BUILDING,ent ideas. ruthlessly express dependencies cajole slyly. quickly
40581,Customer#000040581,gw0hyLckrwvgvlAU2v3JD,0,10-752-927-8933,4942.29,MACHINERY,ally silent accounts. unusual pinto beans play blithely alongside of the even deposits-- requests about the furious
27948,Customer#000027948,"v,ufWQoKjvf3w1Uy6K7Uk",0,10-703-214-1559,3527.25,MACHINERY,. ironic ideas wake furiously. slyly special
37022,Customer#000037022,yaFeyEENySEXk,0,10-182-751-2934,-283.37,BUILDING,"e at the final accounts. even, special foxes sleep final"
50440,Customer#000050440,0WCcXVMP7ncvqQ7NhL,0,10-569-742-3645,6049.26,HOUSEHOLD,y final foxes cajole. fluffily special packages wake. fluffily pending orbits would sleep
27137,Customer#000027137,mXUWOnpjITMkB01lbjg4fY,0,10-964-320-8907,4648.81,FURNITURE,r foxes. carefully final instructions boost
34241,Customer#000034241,OsfJOUWirP0,0,10-822-380-3673,4430.50,BUILDING,foxes. even ideas according to
43843,Customer#000043843,g kM8tPUfgq6Vo0mjB1dQd,0,10-702-570-1124,208.46,AUTOMOBILE,"sual dolphins are regular, regular multipliers. quickly unusual courts use furiously after the furiously express re"
44243,Customer#000044243,JFOBs8akajArGOUR4niNN T,0,10-834-249-9442,8663.99,BUILDING,sits. slyly final packages haggle slyly. excuses cajole furiously special
38992,Customer#000038992,qXahEexXgsWmP4BuCHhWjFJr JCyVIXWGpDR,0,10-698-502-4676,6614.28,HOUSEHOLD,ost slyly never regular foxes. furiously unusual deposits sle
32608,Customer#000032608,"Ig,Blt2VJMqLpbl0 QoA",0,10-549-133-1351,7663.84,BUILDING,ions. blithely even accounts sleep carefully slyly regular pinto beans. slyly qui
44600,Customer#000044600,3qGZRlS4U5BPrHfL0dZtsSZaV,0,10-718-280-6133,4647.77,BUILDING,hily bold theodolites boost slyly express packages. pe
37399,Customer#000037399,cMBccKoWo2gwq,0,10-873-697-1453,7894.68,HOUSEHOLD,tructions around the idly even instructio
34030,Customer#000034030,"JvLLR5mpfZsSP8YdkaOodeXpzYUNlM7 gGi,9S",0,10-565-911-9745,4220.97,HOUSEHOLD,regular ideas. ironic requests alongside of the slyly special deposits are carefu
